# Program:featureCounts v2.0.2; Command:"featureCounts" "-T" "10" "-a" "/scratch_tmp/grp/msc_appbio/group10/ref_genome/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group10/outputs/featureCounts/all_samples_gene_counts.txt" "-t" "exon" "-g" "gene_id" "-p" "-B" "--countReadPairs" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318268_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318269_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318270_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318271_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318268_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318269_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318270_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318271_Aligned.sortedByCoord.out.bam
YAL018C	NC_001133.9	118564	119541	-	978	630	637	584	775
YAL017W	NC_001133.9	120225	124295	+	4071	5247	5640	5554	5039
YAL016W	NC_001133.9	124879	126786	+	1908	8644	8514	9322	7250
YAL015C	NC_001133.9	126903	128102	-	1200	2213	2245	1518	1987
YAL014C	NC_001133.9	128252	129019	-	768	2705	2978	2461	2343
YAL013W	NC_001133.9	129270	130487	+	1218	2758	2863	2933	2034
YAL012W	NC_001133.9	130799	131983	+	1185	1788	2215	1911	1920
YAL011W	NC_001133.9	132199	134076	+	1878	1795	2018	1638	1317
YAL010C	NC_001133.9	134184	135665	-	1482	1746	1713	1399	1483
YAL009W	NC_001133.9	135854	136633	+	780	1739	1784	1572	1816
YAL008W	NC_001133.9	136914	137510	+	597	4975	4504	4145	4749
YAL007C	NC_001133.9	137698	138345	-	648	1556	1955	1572	2965
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	3	5	0	4
YAL005C	NC_001133.9	139503	141431	-	1929	100107	116487	88363	74143
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	26007	31609	25733	32121
YNCA0003W	NC_001133.9	142367	142468	+	102	1164	1443	683	903
YAL002W	NC_001133.9	143707	147531	+	3825	2475	2674	2466	2143
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	3769	4001	3634	3006
YAR002W	NC_001133.9	152257	153876	+	1620	2469	2586	2716	2814
YAR002C-A	NC_001133.9	154065	154724	-	660	5604	6162	4783	5770
YAR003W	NC_001133.9	155005	156285	+	1281	1685	1819	1355	2096
YAR007C	NC_001133.9	156754	158619	-	1866	5667	5912	6650	6055
YAR008W	NC_001133.9	158966	159793	+	828	1473	1325	1423	2679
YAR009C	NC_001133.9	160597	164187	-	3591	59	67	47	55
YAR010C	NC_001133.9	164544	165866	-	1323	4	9	2	5
YNCA0004W	NC_001133.9	166267	166339	+	73	1	2	0	1
YAR014C	NC_001133.9	166742	168871	-	2130	2913	3047	2583	2704
YAR015W	NC_001133.9	169375	170295	+	921	2964	3112	4005	4677
YAR018C	NC_001133.9	170396	171703	-	1308	632	719	485	623
YAR019C	NC_001133.9	172211	175135	-	2925	1659	1745	1448	1206
YAR020C	NC_001133.9	176856	177023	-	168	1273	1037	527	434
YAR023C	NC_001133.9	179281	179820	-	540	544	622	431	595
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	3	3	9	6
YNCA0006C	NC_001133.9	182522	182603	-	82	9	15	4	9
YAR027W	NC_001133.9	183770	184477	+	708	2970	2774	2779	4024
YAR028W	NC_001133.9	184892	185596	+	705	238	298	134	240
YAR029W	NC_001133.9	186321	186545	+	225	68	69	48	82
YAR031W	NC_001133.9	186836	187732	+	897	322	366	320	339
YAR033W	NC_001133.9	188107	188811	+	705	451	435	392	527
YAR035W	NC_001133.9	190193	192256	+	2064	11526	10041	12290	7289
YAR035C-A	NC_001133.9	192337	192417	-	81	22	16	29	21
YAR042W	NC_001133.9	192619	196185	+	3567	4279	4451	4798	3729
YAR050W	NC_001133.9	203403	208016	+	4614	292	366	421	330
YAR061W	NC_001133.9	218140	219145	+	1006	0	0	0	0
YAR064W	NC_001133.9	220198	220497	+	300	12	20	24	19
YAR066W	NC_001133.9	221049	221660	+	612	116	121	103	74
YAR068W	NC_001133.9	222406	222891	+	486	317	340	248	192
YAR071W	NC_001133.9	225460	226863	+	1404	538	622	576	582
YBL113C	NC_001134.8	280	2658	-	2379	3368	3827	3645	2892
YBL112C	NC_001134.8	2582	2899	-	318	0	0	0	0
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	11	4	3	12
YBL108C-A	NC_001134.8	7605	7733	-	129	4	3	2	1
YNCB0001W	NC_001134.8	9583	9666	+	84	0	2	0	4
YBL107C	NC_001134.8	9961	10551	-	591	2831	2967	2737	3725
YBL106C	NC_001134.8	10847	13879	-	3033	2486	2329	1662	1522
YBL105C	NC_001134.8	14241	17696	-	3456	7658	9110	6282	5055
YBL104C	NC_001134.8	18177	21293	-	3117	2156	2156	1892	1909
YBL103C	NC_001134.8	22076	23536	-	1461	2090	1899	2038	1786
YBL102W	NC_001134.8	24098	24745	+	648	3936	3764	4102	4734
YBL101C	NC_001134.8	24946	28299	-	3354	3635	3876	4195	2953
YBL100W-C	NC_001134.8	28427	28546	+	120	299	221	191	217
YBL100W-B	NC_001134.8	29935	35248	+	5314	477	737	361	304
YBL100W-A	NC_001134.8	29935	31251	+	1317	0	0	0	0
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	1	1	0	1
YBL099W	NC_001134.8	37053	38690	+	1638	16696	19316	25195	29698
YBL098W	NC_001134.8	39145	40527	+	1383	1698	1710	1850	2913
YBL097W	NC_001134.8	40831	43095	+	2265	480	462	405	325
YBL095W	NC_001134.8	43277	44089	+	813	1938	2028	1802	1954
YBL093C	NC_001134.8	44256	44918	-	663	4688	5228	3047	2736
YBL092W	NC_001134.8	45978	46370	+	393	14138	16032	16473	23449
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	1882	1916	1383	1292
YBL091C	NC_001134.8	47363	48628	-	1266	5650	6069	6556	5701
YBL090W	NC_001134.8	48825	49358	+	534	5435	4452	4057	6455
YBL089W	NC_001134.8	49574	50953	+	1380	1325	1297	1020	1221
YBL088C	NC_001134.8	51019	59382	-	8364	2190	2654	2528	2290
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	7293	7876	7817	12852
YBL086C	NC_001134.8	61202	62602	-	1401	1760	1621	2262	1634
YBL085W	NC_001134.8	63876	66818	+	2943	2517	2986	3008	2865
YBL084C	NC_001134.8	67169	69445	-	2277	3028	3171	3504	2470
YBL082C	NC_001134.8	69751	71127	-	1377	1957	2312	1278	1262
YBL081W	NC_001134.8	71866	72972	+	1107	485	663	580	629
YBL080C	NC_001134.8	73070	74695	-	1626	1669	1607	1472	1663
YBL079W	NC_001134.8	75259	79767	+	4509	2979	3339	3072	2933
YBL078C	NC_001134.8	80378	80731	-	354	4937	4612	5206	3676
YBL076C	NC_001134.8	81043	84261	-	3219	7759	9217	7399	11161
YBL075C	NC_001134.8	84499	86448	-	1950	153366	139780	178670	113700
YBL074C	NC_001134.8	86722	87789	-	1068	464	527	465	417
YNCB0003W	NC_001134.8	88190	88277	+	88	17	9	5	10
YBL072C	NC_001134.8	88523	89125	-	603	11012	11800	13298	18608
YBL071C-B	NC_001134.8	89458	89556	-	99	25	22	8	8
YBL071W-A	NC_001134.8	89978	90226	+	249	974	1027	934	1031
YBL071C	NC_001134.8	90223	90531	-	309	738	776	779	872
YBL069W	NC_001134.8	90741	92030	+	1290	1484	1522	1354	1298
YBL068W	NC_001134.8	92414	93394	+	981	1461	1687	1727	2678
YBL067C	NC_001134.8	93639	95882	-	2244	7507	7353	7247	6178
YBL066C	NC_001134.8	96669	100115	-	3447	3016	3423	3459	2665
YBL064C	NC_001134.8	100371	101156	-	786	22147	20933	26655	21515
YBL063W	NC_001134.8	101886	105221	+	3336	1689	1734	2012	1880
YBL061C	NC_001134.8	105316	107406	-	2091	1836	2053	1768	2107
YBL060W	NC_001134.8	107932	109995	+	2064	1900	2113	1423	1503
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	3975	3466	2918	5126
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	1389	1613	1317	1765
YBL058W	NC_001134.8	111437	112708	+	1272	11226	11462	11972	10041
YBL057C	NC_001134.8	112801	113427	-	627	2175	2266	1821	2757
YBL056W	NC_001134.8	113762	115168	+	1407	6892	7024	5821	6257
YBL055C	NC_001134.8	115573	116829	-	1257	1695	1917	1516	1941
YBL054W	NC_001134.8	117589	119166	+	1578	3162	3448	3011	2616
YBL052C	NC_001134.8	119379	121874	-	2496	2504	2559	2261	2286
YBL051C	NC_001134.8	122753	124759	-	2007	2198	2417	2493	2020
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	9878	9710	9078	7942
YBL049W	NC_001134.8	126828	127244	+	417	6540	6426	6686	4906
YBL048W	NC_001134.8	127299	127610	+	312	1006	895	834	665
YBL047C	NC_001134.8	127895	132040	-	4146	11095	11598	11119	9495
YBL046W	NC_001134.8	132424	133749	+	1326	2175	2274	1673	1574
YBL045C	NC_001134.8	134143	135516	-	1374	13219	15742	20892	31310
YBL044W	NC_001134.8	135998	136366	+	369	11	6	6	8
YBL043W	NC_001134.8	136688	137461	+	774	4569	4814	7203	10322
YBL042C	NC_001134.8	138341	140260	-	1920	4416	4260	4126	3707
YBL041W	NC_001134.8	141247	141972	+	726	9860	10355	10375	12190
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	5012	5193	3256	7052
YBL039W-B	NC_001134.8	143393	143572	+	180	2676	1886	2286	2662
YBL039C	NC_001134.8	143989	145728	-	1740	1752	1997	1984	3293
YBL038W	NC_001134.8	146187	146885	+	699	3514	3459	3187	4319
YBL037W	NC_001134.8	147209	150286	+	3078	2269	2291	2241	1663
YBL036C	NC_001134.8	150447	151220	-	774	4018	3791	3431	4814
YBL035C	NC_001134.8	151493	153610	-	2118	1831	1906	1755	2176
YBL034C	NC_001134.8	153848	158389	-	4542	2092	2078	1982	1855
YBL033C	NC_001134.8	158656	159693	-	1038	8532	9365	8474	7576
YBL032W	NC_001134.8	160184	161329	+	1146	2452	2366	2511	2537
YBL031W	NC_001134.8	161699	162715	+	1017	307	336	413	573
YBL030C	NC_001134.8	163041	163997	-	957	15472	19004	22059	34262
YBL029C-A	NC_001134.8	164488	164772	-	285	3399	2632	3280	3404
YBL029W	NC_001134.8	166134	167264	+	1131	2815	2466	2483	2615
YBL028C	NC_001134.8	167518	167838	-	321	2829	2347	2330	4472
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	21677	23162	27889	37186
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	7312	5903	5564	8600
YBL025W	NC_001134.8	171481	171918	+	438	1003	1089	922	878
YBL024W	NC_001134.8	172534	174588	+	2055	2861	3095	2770	2624
YBL023C	NC_001134.8	174920	177526	-	2607	2153	2217	1748	1800
YBL022C	NC_001134.8	177874	181275	-	3402	11490	12614	12628	11884
YBL021C	NC_001134.8	181660	182094	-	435	1299	1489	1210	1485
YBL020W	NC_001134.8	182401	184125	+	1725	1981	2299	1803	1967
YBL019W	NC_001134.8	184353	185915	+	1563	1479	1651	1235	1518
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	4058	3562	2921	3888
YBL017C	NC_001134.8	186844	191583	-	4740	4907	5495	5015	4615
YBL016W	NC_001134.8	192451	193512	+	1062	1735	1807	2020	2135
YBL015W	NC_001134.8	194122	195702	+	1581	9811	10890	11429	15955
YNCB0004W	NC_001134.8	197494	197567	+	74	0	2	0	2
YNCB0005C	NC_001134.8	197629	197699	-	71	1	1	0	0
YBL014C	NC_001134.8	199064	201748	-	2685	1455	1649	1365	1472
YBL013W	NC_001134.8	202056	203261	+	1206	153	143	218	197
YBL011W	NC_001134.8	203538	205817	+	2280	2864	3365	3136	3609
YBL010C	NC_001134.8	206107	206949	-	843	782	799	731	806
YBL009W	NC_001134.8	207194	209224	+	2031	1467	1744	1275	1614
YBL008W-A	NC_001134.8	209409	209648	+	240	6	18	11	5
YBL008W	NC_001134.8	209653	212175	+	2523	2364	2603	1904	1636
YBL007C	NC_001134.8	212632	216366	-	3735	9137	9737	9823	7546
YBL006C	NC_001134.8	216587	217129	-	543	3369	3182	2789	3362
YBL005W	NC_001134.8	217470	220400	+	2931	1475	1580	1383	1183
YBL005W-B	NC_001134.8	221330	226598	+	5269	13	12	9	9
YBL005W-A	NC_001134.8	221330	222652	+	1323	0	0	0	0
YNCB0006W	NC_001134.8	227075	227156	+	82	38	26	12	33
YBL004W	NC_001134.8	227636	235117	+	7482	3026	3637	3117	3059
YBL003C	NC_001134.8	235394	235792	-	399	3468	3871	3144	5202
YBL002W	NC_001134.8	236492	236887	+	396	2549	2967	2781	3473
YBL001C	NC_001134.8	237153	237467	-	315	16910	12925	16004	18748
YBR001C	NC_001134.8	238941	241283	-	2343	3606	3641	3450	2823
YBR002C	NC_001134.8	241708	242568	-	861	1825	2210	1513	1549
YBR003W	NC_001134.8	242809	244230	+	1422	1644	1992	1704	2093
YBR004C	NC_001134.8	244366	245667	-	1302	1348	1603	1131	1255
YBR005W	NC_001134.8	245906	246547	+	642	3176	4283	3245	4044
YBR006W	NC_001134.8	247010	248503	+	1494	13302	13306	11265	8405
YBR007C	NC_001134.8	248806	251016	-	2211	1424	1431	1116	1135
YBR008C	NC_001134.8	252563	254209	-	1647	6641	5716	4749	2588
YBR009C	NC_001134.8	255373	255684	-	312	22019	22620	18642	17888
YBR010W	NC_001134.8	256331	256741	+	411	17753	16155	14840	16808
YBR011C	NC_001134.8	257112	257975	-	864	9938	10588	11733	10747
YBR012W-B	NC_001134.8	259869	265140	+	5272	6	5	2	0
YBR012W-A	NC_001134.8	259869	261191	+	1323	0	0	0	0
YBR013C	NC_001134.8	265492	265881	-	390	345	324	247	251
YNCB0007W	NC_001134.8	266378	266450	+	73	9	10	1	8
YBR014C	NC_001134.8	266725	267336	-	612	3160	2967	2283	3586
YBR015C	NC_001134.8	267710	269503	-	1794	8598	7843	7455	6722
YBR016W	NC_001134.8	270247	270633	+	387	3951	5016	4506	4683
YBR017C	NC_001134.8	270947	273703	-	2757	3153	3358	3277	3003
YBR018C	NC_001134.8	274427	275527	-	1101	391	337	429	292
YBR019C	NC_001134.8	276253	278352	-	2100	459	354	313	573
YNCB0008W	NC_001134.8	276805	280645	+	3841	188	180	177	132
YBR020W	NC_001134.8	279021	280607	+	1587	0	0	0	0
YBR021W	NC_001134.8	281443	283344	+	1902	1999	2012	1660	1395
YBR022W	NC_001134.8	283738	284271	+	534	3574	3137	2423	3324
YBR023C	NC_001134.8	284428	287925	-	3498	3684	4046	3738	4091
YBR024W	NC_001134.8	289445	290350	+	906	1813	1820	1619	1424
YBR025C	NC_001134.8	290681	291865	-	1185	19477	21977	17653	15870
YBR026C	NC_001134.8	292877	294019	-	1143	34974	29316	50971	39587
YBR027C	NC_001134.8	294024	294356	-	333	23	32	31	30
YBR028C	NC_001134.8	294425	296002	-	1578	1603	1566	1507	1825
YBR029C	NC_001134.8	296369	297742	-	1374	4164	3866	3261	3538
YBR030W	NC_001134.8	298292	299950	+	1659	1184	1233	987	1105
YBR031W	NC_001134.8	300166	301254	+	1089	8092	9732	9530	11936
YBR032W	NC_001134.8	301519	301821	+	303	256	253	226	184
YBR033W	NC_001134.8	301944	304703	+	2760	1402	1578	1400	1380
YBR034C	NC_001134.8	304930	305976	-	1047	3575	4332	3218	4525
YBR035C	NC_001134.8	306269	306955	-	687	4934	4478	4574	5178
YNCB0009C	NC_001134.8	307185	307345	-	161	35	30	32	31
YNCB0010W	NC_001134.8	307587	308887	+	1301	1941	2446	1913	3002
YBR036C	NC_001134.8	309081	310313	-	1233	9351	9930	7435	7527
YBR037C	NC_001134.8	310565	311452	-	888	2295	2174	2176	2231
YBR038W	NC_001134.8	311898	314789	+	2892	677	686	539	427
YBR039W	NC_001134.8	315575	316510	+	936	10590	11594	13424	18094
YBR040W	NC_001134.8	316968	317864	+	897	186	160	149	175
YBR041W	NC_001134.8	318266	320275	+	2010	2060	2340	2070	2185
YBR042C	NC_001134.8	320416	321609	-	1194	1611	1706	1133	1579
YBR043C	NC_001134.8	321876	323945	-	2070	5054	4641	5413	4548
YBR044C	NC_001134.8	324341	326059	-	1719	1883	1960	1882	2220
YNCB0011C	NC_001134.8	326792	326865	-	74	9	6	0	8
YBR045C	NC_001134.8	328173	330092	-	1920	1655	1660	2263	2250
YBR046C	NC_001134.8	330507	331511	-	1005	8856	8322	9201	8278
YBR047W	NC_001134.8	331833	332360	+	528	1369	1217	1135	1213
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	8011	9194	10250	14956
YBR049C	NC_001134.8	334386	336818	-	2433	3235	3191	3314	2690
YBR050C	NC_001134.8	337183	338199	-	1017	13101	10539	8169	6485
YBR052C	NC_001134.8	338720	339352	-	633	3509	4028	3554	5715
YBR053C	NC_001134.8	339675	340751	-	1077	6207	5699	6888	5845
YBR054W	NC_001134.8	343101	344135	+	1035	71231	73037	42886	37109
YBR055C	NC_001134.8	344602	347301	-	2700	2027	2320	1891	2152
YNCB0012W	NC_001134.8	347603	347686	+	84	5	4	6	7
YBR056W	NC_001134.8	347879	349384	+	1506	7570	7120	8247	7495
YNCB0013W	NC_001134.8	350827	350898	+	72	16	9	3	9
YBR056W-A	NC_001134.8	351255	351455	+	201	1941	4030	1520	3138
YBR057C	NC_001134.8	352193	353293	-	1101	3668	3407	4503	4201
YBR058C	NC_001134.8	353672	356017	-	2346	4763	4621	4825	3984
YBR058C-A	NC_001134.8	356324	356566	-	243	6801	5134	7006	8613
YBR059C	NC_001134.8	356861	360187	-	3327	5616	5711	5501	3952
YBR060C	NC_001134.8	360652	362514	-	1863	1766	1732	2071	1959
YBR061C	NC_001134.8	364787	365719	-	933	1443	1506	1318	1341
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	9904	9289	7370	8377
YBR063C	NC_001134.8	366970	368184	-	1215	2093	2032	1967	2001
YBR065C	NC_001134.8	368584	369678	-	1095	1087	1110	1238	889
YBR066C	NC_001134.8	370037	370699	-	663	2935	1952	990	1731
YBR067C	NC_001134.8	372103	372735	-	633	135108	151088	151525	139024
YBR068C	NC_001134.8	373861	375690	-	1830	24437	26132	19648	20713
YBR069C	NC_001134.8	376574	378433	-	1860	1035	963	1285	2072
YNCB0014W	NC_001134.8	376610	378633	+	2024	382	445	443	402
YBR070C	NC_001134.8	379221	379934	-	714	1673	1617	2236	2399
YBR071W	NC_001134.8	380411	381046	+	636	6307	6485	8537	8565
YBR072W	NC_001134.8	382030	382674	+	645	678303	674436	713395	464593
YBR072C-A	NC_001134.8	382860	383021	-	162	104	80	102	70
YBR073W	NC_001134.8	383112	385988	+	2877	2431	2946	2827	3776
YBR074W	NC_001134.8	386286	389216	+	2931	3077	3250	2761	3184
YBR076W	NC_001134.8	390227	391291	+	1065	616	569	702	770
YBR077C	NC_001134.8	391805	392293	-	489	3391	3212	3504	3559
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	9136	11793	10560	13142
YBR079C	NC_001134.8	395383	398277	-	2895	7427	7860	7664	6945
YBR080C	NC_001134.8	398614	400890	-	2277	3484	3698	3244	3059
YBR081C	NC_001134.8	401253	405251	-	3999	3694	3636	4024	3176
YNCB0015W	NC_001134.8	405878	405949	+	72	6	16	15	25
YNCB0016W	NC_001134.8	405960	406031	+	72	8	12	6	30
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	7331	10502	7021	11033
YBR083W	NC_001134.8	409169	410629	+	1461	2423	2833	3143	3365
YBR084W	NC_001134.8	411054	413981	+	2928	2650	2888	3496	5245
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	15964	17646	17904	25537
YBR085W	NC_001134.8	415983	416906	+	924	37	89	40	68
YBR085C-A	NC_001134.8	418907	419164	-	258	45065	37806	25646	21867
YBR086C	NC_001134.8	420201	423041	-	2841	7570	7434	9928	8910
YBR087W	NC_001134.8	423765	424829	+	1065	1291	1410	1372	1737
YBR088C	NC_001134.8	424990	425766	-	777	1696	2006	2347	3692
YBR089C-A	NC_001134.8	426190	426489	-	300	7426	7714	6882	8308
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	424	473	307	317
YBR091C	NC_001134.8	427155	427484	-	330	760	815	582	965
YBR092C	NC_001134.8	427698	429101	-	1404	639	624	750	668
YBR093C	NC_001134.8	429548	430951	-	1404	1247	1448	1027	1034
YBR094W	NC_001134.8	432036	434297	+	2262	3508	3307	3649	3173
YBR095C	NC_001134.8	434406	435698	-	1293	2434	2545	2180	2177
YBR096W	NC_001134.8	436021	436713	+	693	1033	1208	1138	3032
YBR097W	NC_001134.8	436951	441315	+	4365	1578	1666	1619	1821
YBR098W	NC_001134.8	441515	443590	+	2076	2906	3073	2673	2209
YBR101C	NC_001134.8	443821	444693	-	873	17499	18943	14363	12704
YBR102C	NC_001134.8	445062	447323	-	2262	2397	2448	2121	1967
YBR103W	NC_001134.8	447709	449316	+	1608	2664	2734	2643	2338
YBR104W	NC_001134.8	449667	450656	+	990	730	862	546	1077
YBR105C	NC_001134.8	450881	451969	-	1089	3599	4797	2774	3504
YBR106W	NC_001134.8	452658	453224	+	567	15733	17498	13056	19838
YBR107C	NC_001134.8	453793	454530	-	738	994	1407	760	595
YBR108W	NC_001134.8	454822	457665	+	2844	3253	3525	3663	2419
YBR109C	NC_001134.8	457919	458362	-	444	10296	10650	10715	10580
YBR110W	NC_001134.8	458872	460221	+	1350	4043	3821	3108	3394
YBR111C	NC_001134.8	461178	461873	-	696	4596	4649	4262	4993
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	5501	4380	4193	5066
YBR112C	NC_001134.8	462870	465770	-	2901	2951	3462	3957	3659
YBR114W	NC_001134.8	467248	469620	+	2373	2149	2413	2165	2164
YBR115C	NC_001134.8	469748	473926	-	4179	4369	4909	5088	4913
YBR117C	NC_001134.8	474392	476437	-	2046	36041	29506	45656	25610
